,Investigation Type,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft Damage,Make,Model,Amateur Built,Number Of Engines,Engine Type,Purpose Of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Total Passengers,Make-Model
25,Accident,1982-01-03,"ASHLAND, VA",United States,HANOVER COUNTY,Fatal,Destroyed,Cessna,414A,No,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,Approach,8.0,Cessna 414A
36,Accident,1982-01-04,SAINT CROIX,Unknown,ALEXANDER HAMILTON,Fatal,Destroyed,Cessna,206,No,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,VMC,Taxi,2.0,Cessna 206
39,Accident,1982-01-05,"ITHACA, NY",United States,TOMPKINS COUNTY,Fatal,Destroyed,Piper,PA-31,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Approach,2.0,Piper PA-31
41,Accident,1982-01-05,"LONOKE, AR",United States,Unknown,Fatal,Substantial,Piper,PA-24-250,No,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC,Descent,2.0,Piper PA-24-250
43,Accident,1982-01-05,"SPRINGERVILLE, AZ",United States,SPRINGERVILLE,Fatal,Substantial,Cessna,TR182,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,1.0,Cessna TR182
44,Accident,1982-01-05,"BETHEL, AK",United States,BETHEL,Fatal,Substantial,Cessna,A185F,No,1.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,VMC,Takeoff,2.0,Cessna A185F
51,Accident,1982-01-07,"HELENA, MT",United States,Unknown,Fatal,Destroyed,Cessna,210,No,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,2.0,Cessna 210
56,Accident,1982-01-08,"PULLMAN, WA",United States,PULLMAN-MOSCOW REGIONAL,Fatal,Substantial,Cessna,TU206G,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,1.0,Cessna TU206G
67,Accident,1982-01-09,"STEAMBOAT SPRIN, CO",United States,ROUTT CITY,Fatal,Substantial,Cessna,182A,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,1.0,Cessna 182A
68,Accident,1982-01-10,"OKEECHOBEE, FL",United States,LOWERY DAVIS,Fatal,Destroyed,Piper,PA-23-250,No,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,UNK,Approach,2.0,Piper PA-23-250
74,Accident,1982-01-10,"QUINHAGAK, AK",United States,Unknown,Fatal,Substantial,Cessna,U206,No,1.0,Reciprocating,Unknown,0.0,0.0,3.0,0.0,VMC,Cruise,3.0,Cessna U206
87,Accident,1982-01-13,"SPOKANE, WA",United States,GEIGER FIELD,Fatal,Substantial,Piper,PA-31-350,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC,Approach,2.0,Piper PA-31-350
94,Accident,1982-01-15,"ANOKA, MN",United States,ANOKA COUNTY,Fatal,Substantial,Beech,C-45H,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,2.0,Beech C-45H
