,Investigation Type,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft Damage,Make,Model,Amateur Built,Number Of Engines,Engine Type,Purpose Of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Total Passengers,Make-Model
25,Accident,1982-01-03,"ASHLAND, VA",United States,HANOVER COUNTY,Fatal,Destroyed,Cessna,414A,No,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,Approach,8.0,Cessna 414A
36,Accident,1982-01-04,SAINT CROIX,Unknown,ALEXANDER HAMILTON,Fatal,Destroyed,Cessna,206,No,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,VMC,Taxi,2.0,Cessna 206
41,Accident,1982-01-05,"LONOKE, AR",United States,Unknown,Non-Fatal,Substantial,Piper,PA-24-250,No,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC,Descent,2.0,Piper PA-24-250
109,Accident,1982-01-18,"ORCHARDS, WA",United States,CLARK COUNTY,Non-Fatal,Destroyed,Beech,C23,No,1.0,Reciprocating,Business,0.0,2.0,2.0,0.0,VMC,Descent,4.0,Beech C23
112,Accident,1982-01-18,"S.E. OF HOUMA, LA",United States,Unknown,Non-Fatal,Substantial,Cessna,180K,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,1.0,Cessna 180K
114,Accident,1982-01-19,"CEDAR VALE, KS",United States,MILLS RANCH,Fatal,Destroyed,Mooney,M20F,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Takeoff,1.0,Mooney M20F
116,Accident,1982-01-19,"WOLF PT., MT",United States,Unknown,Fatal,Destroyed,Cessna,177B,No,1.0,Reciprocating,Business,1.0,2.0,0.0,0.0,UNK,Cruise,3.0,Cessna 177B
118,Accident,1982-01-19,"ROCKPORT, TX",United States,ARANSAS COUNTY AIRPORT,Fatal,Destroyed,Swearingen,SA226-T(B),No,2.0,Turbo Prop,Executive/corporate,3.0,0.0,0.0,0.0,IMC,Approach,3.0,Swearingen SA226-T(B)
127,Accident,1982-01-19,"NEAR LANSING, MI",United States,Unknown,Non-Fatal,Substantial,Cessna,340A,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,UNK,Cruise,2.0,Cessna 340A
131,Incident,1982-01-20,"SAN JOSE, CA",United States,SAN JOSE MUNICIPAL,Incident,Minor,Piper,PA-31-350,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Takeoff,2.0,Piper PA-31-350
134,Accident,1982-01-20,"MCCOMB, MS",United States,MCCOMB-PIKE COUNTY,Fatal,Destroyed,Piper,PA-23-250,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Approach,1.0,Piper PA-23-250
141,Accident,1982-01-21,"BAGDAD, AZ",United States,BAGDAD,Non-Fatal,Destroyed,Piper,PA-23-250,No,2.0,Reciprocating,Executive/corporate,0.0,1.0,2.0,0.0,IMC,Maneuvering,3.0,Piper PA-23-250
169,Accident,1982-01-24,"ATHENS, GA",United States,ATHENS MUNICIPAL,Non-Fatal,Substantial,Cessna,177,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Descent,1.0,Cessna 177
